,name,y,x,z,,,,,,,,,,h,dx,dy,dz,dd,,,,,fix,,,time,,description,,,,,,,,,,,,,,,,,,,,,,,,,,,,p
,,,,,,,,,,,,,,GPS,ТОЧНОСТЬ,ТОЧНОСТЬ,ТОЧНОСТЬ,,,,,,,,,ДАТА,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,~IFCLENGTHMEASURE,~IFCLENGTHMEASURE,~IFCLENGTHMEASURE,~IFCLENGTHMEASURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pt0,878146.3740,2107419.3969,125.0156," 52:36:27.32995"," 41:26:37.12551",133.2922,,,,,,,2.0922,0.0020,0.0071,0.0074,0.0014,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:20:56.0,2022-02-02 09:20:58.0,2022-02-02 06:20:56.0,2022-02-02 06:20:58.0,бровка,4.0,43,34,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:50:38"," 210:53:18.32"," 01:42:36"," 00:41:24"," 08:54:36.00"," 52:36:27.32997"," 41:26:37.12551",125.0156,18538.2400," 350:57:42.10015",0.0000,,,,,,,0:0:2
2,pt1,878146.9954,2107416.8357,125.2151," 52:36:27.35001"," 41:26:36.98939",133.4917,,,,,,,2.0922,0.0013,0.0063,0.0064,0.0029,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:21:52.0,2022-02-02 09:21:54.0,2022-02-02 06:21:52.0,2022-02-02 06:21:54.0,кромка,3.0,43,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:18:10"," 52:05:40.84"," 00:18:00"," 00:02:24"," 224:30:00.00"," 52:36:27.35002"," 41:26:36.98939",125.2151,18537.2234," 350:58:09.15977",0.0000,,,,,,,0:0:2
3,pt2,878145.7279,2107427.3257,123.5137," 52:36:27.30919"," 41:26:37.54687",131.7903,,,,,,,2.0922,0.0112,0.0088,0.0142,0.0204,2.0000,Веха(P),EFT:M2,1,RTK ФИКС.,2022-02-02 09:24:31.0,2022-02-02 09:24:31.0,2022-02-02 06:24:31.0,2022-02-02 06:24:31.0,подошва,4.0,43,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:26:58"," 83:39:09.23"," -01:16:48"," -00:40:48"," 55:40:12.00"," 52:36:27.30920"," 41:26:37.54687",123.5137,18540.1312," 350:56:16.11156",0.0000,,,,,,,0:0:0
4,pt3,878145.1483,2107428.9785,123.4131," 52:36:27.29047"," 41:26:37.63472",131.6897,,,,,,,2.0922,0.0096,0.0078,0.0124,0.0181,2.0000,Веха(P),EFT:M2,1,RTK ФИКС.,2022-02-02 09:24:43.0,2022-02-02 09:24:43.0,2022-02-02 06:24:43.0,2022-02-02 06:24:43.0,рельеф,2.0,43,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:38:40"," 16:49:49.67"," -00:31:12"," 01:33:36"," 88:24:00.00"," 52:36:27.29048"," 41:26:37.63472",123.4131,18540.9644," 350:55:58.96871",0.0000,,,,,,,0:0:0
5,pt4,878144.1548,2107433.1630,123.5409," 52:36:27.25840"," 41:26:37.85711",131.8175,,,,,,,2.0922,0.0032,0.0294,0.0295,0.0053,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:24:54.0,2022-02-02 09:24:56.0,2022-02-02 06:24:54.0,2022-02-02 06:24:56.0,рельеф,2.0,42,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:34:32"," 239:21:49.68"," 00:33:00"," -00:10:12"," 76:32:24.00"," 52:36:27.25842"," 41:26:37.85711",123.5409,18542.6048," 350:55:14.74308",0.0000,,,,,,,0:0:2
6,pt5,878142.6380,2107435.7935,123.7720," 52:36:27.20938"," 41:26:37.99694",132.0486,,,,,,,2.0922,0.0031,0.0006,0.0032,0.0050,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:25:05.0,2022-02-02 09:25:07.0,2022-02-02 06:25:05.0,2022-02-02 06:25:07.0,рельеф,2.0,43,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 01:27:42"," 05:00:56.30"," 00:04:12"," 01:27:36"," 97:45:36.00"," 52:36:27.20939"," 41:26:37.99694",123.7720,18544.5169," 350:54:48.51297",0.0000,,,,,,,0:0:2
7,pt6,878139.4646,2107442.7207,124.0710," 52:36:27.10684"," 41:26:38.36515",132.3476,,,,,,,2.0922,0.0156,0.0004,0.0156,0.0026,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:25:22.0,2022-02-02 09:25:24.0,2022-02-02 06:25:22.0,2022-02-02 06:25:24.0,рельеф,5.0,42,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 04:29:29"," 352:01:23.35"," 00:57:00"," 04:23:24"," 94:12:36.00"," 52:36:27.10685"," 41:26:38.36515",124.0710,18548.7444," 350:53:38.01890",0.0000,,,,,,,0:0:2
8,pt7,878138.1784,2107445.6522,123.9973," 52:36:27.06528"," 41:26:38.52097",132.2739,,,,,,,2.0922,0.0035,0.0037,0.0051,0.0032,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:31:11.0,2022-02-02 09:31:13.0,2022-02-02 06:31:11.0,2022-02-02 06:31:13.0,рельеф,3.0,42,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:57:13"," 250:10:27.78"," 02:54:00"," 00:33:36"," 59:14:24.00"," 52:36:27.06530"," 41:26:38.52097",123.9973,18550.4788," 350:53:08.09612",0.0000,,,,,,,0:0:2
9,pt8,878137.0593,2107449.2040,124.2803," 52:36:27.02914"," 41:26:38.70975",132.5569,,,,,,,2.0922,0.0101,0.0009,0.0102,0.0410,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:31:55.0,2022-02-02 09:31:57.0,2022-02-02 06:31:55.0,2022-02-02 06:31:57.0,опжб 310 л9-84,2.0,39,33,1.0000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 02:18:50"," 216:20:13.08"," -00:52:48"," -02:08:24"," 148:40:48.00"," 52:36:27.02915"," 41:26:38.70975",124.2803,18552.1457," 350:52:31.07496",0.0000,,,,,,,0:0:2
10,pt9,878137.9964,2107448.4116,124.2956," 52:36:27.05944"," 41:26:38.66761",132.5722,,,,,,,2.0922,0.0041,0.0075,0.0086,0.0036,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:32:19.0,2022-02-02 09:32:21.0,2022-02-02 06:32:19.0,2022-02-02 06:32:21.0,кустгр,3.0,39,33,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 03:37:23"," 253:31:04.73"," 03:16:48"," 01:32:24"," 48:21:00.00"," 52:36:27.05946"," 41:26:38.66761",124.2956,18551.0947," 350:52:38.12194",0.0000,,,,,,,0:0:2
11,pt10,878146.6677,2107413.0209,125.2918," 52:36:27.33934"," 41:26:36.78668",133.5684,,,,,,,2.0922,0.0047,0.0077,0.0091,0.0016,2.0000,Веха(P),EFT:M2,3,RTK ФИКС.,2022-02-02 09:33:31.0,2022-02-02 09:33:33.0,2022-02-02 06:33:31.0,2022-02-02 06:33:33.0,ось,2.0,43,34,0.9000,10,," 52:46:19.50365"," 41:24:01.24956",232.1455,0.0000," 00:57:32"," 106:18:04.92"," -00:07:48"," 00:57:00"," 188:30:36.00"," 52:36:27.33935"," 41:26:36.78668",125.2918,18536.9483," 350:58:51.65564",0.0000,,,,,,,0:0:2
